학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,국어,읽기,,"⋅상황 맥락
⋅주장, 이유, 근거가 명시적인 글",[4국02-05],글이나 자료의 출처가 믿을 만한지 판단한다.,글이나 자료를 찾아 읽을 때 출처를 정확하게 확인하고 평가 기준에 따라 출처가 믿을 만한지 능동적으로 판단할 수 있다.,글이나 자료를 찾아 읽을 때 출처를 확인하고 평가 기준에 따라 출처가 믿을 만한지 판단할 수 있다.,글이나 자료를 찾아 읽을 때 출처를 일부 확인하고 출처가 믿을 만한지 부분적으로 판단한다.,"이 성취기준은 도서관이나 인터넷 등을 통해 글이나 자료를 찾아 읽을 때 출처의 신뢰성을 평가하며 읽고 믿을 만한 글이나 자료를 선별하는 능력을 기르기 위해 설정하였다. 글이나 자료의 출처 확인 방법이나 필요성 이해하기, 다양한 매체를 활용하여 글이나 자료 탐색하기, 글이나 자료의 정보 출처 파악하기, 정보 출처의 유형이나 정보의 최신성 확인하기, 권위나 공신력 등을 고려한 신뢰성 평가하기, 여러 정보를 비교하며 내용의 신뢰성 평가하기 등을 학습한다."
3~4,국어,읽기,,,[4국02-06],바람직한 읽기 습관을 형성하고 읽기에 대한 자신감을 기른다.,"다양한 읽기 활동에 적극적으로 참여하면서 바람직한 읽기 습관을 형성하고, 읽기에 대한 자신감을 갖는다.","읽기 경험을 통해 바람직한 읽기 습관을 형성하고, 읽기에 대한 자신감을 기를 수 있다.",바람직한 읽기 습관과 읽기에 대한 자신감의 형성이 제한적이다.,
3~4,국어,쓰기,"⋅쓰기는 언어를 비롯한 다양한 기호나 매체를 활용하여 인간의 생각과 감정을 글로 표현함으로써 의미를 구성하는 행위이다.
⋅필자는 상황 맥락 및 사회⋅문화적 맥락 속에서 자신의 의사소통 목적을 달성하기 위하여 다양한 유형의 글을 쓴다.
⋅필자는 쓰기 과정에서 부딪히는 문제를 해결하기 위하여 적절한 쓰기 전략을 사용하여 글을 쓴다.
⋅필자는 쓰기 경험을 통해 언어 공동체의 구성원으로 성장하고, 쓰기 윤리를 갖추어 독자와 소통함으로써 바람직한 의사소통 문화를 만들어 간다.",⋅문단 쓰기,[4국03-01],"중심 문장과 뒷받침 문장을 갖추어 문단을 쓰고, 문장과 문단을 중심으로 고쳐 쓴다.","중심 문장과 뒷받침 문장을 갖추어 문단을 짜임새 있게 쓸 수 있고, 문장과 문단을 중심으로 글의 내용과 표현을 효과적으로 고쳐 쓸 수 있다.","중심 문장과 뒷받침 문장을 갖추어 문단을 쓸 수 있고, 문장과 문단을 중심으로 글의 내용과 표현을 고쳐 쓸 수 있다.","중심 문장이 있는 문단을 쓰고, 문장을 중심으로 글의 내용이나 표현을 일부 고쳐 쓴다.","이 성취기준은 문단을 짜임새 있게 쓰는 능력을 길러 글을 쓰는 과정에서 이를 적용할 수 있도록 하기 위해 설정하였다. 문단의 개념, 문단의 기능과 역할, 중심 문장과 뒷받침 문장의 관계, 중심 문장과 뒷받침 문장을 쓰는 방법, 중심 문장과 뒷받침 문장을 갖추어 문단을 쓰는 방법, 문장과 문단을 중심으로 글을 고쳐 쓰는 방법 등을 학습한다."
3~4,국어,쓰기,,"⋅상황 맥락 
⋅절차와 결과를 보고하는 글",[4국03-02],절차와 결과가 드러나게 정확한 표현으로 보고하는 글을 쓴다.,"절차와 결과가 드러나게 글의 내용을 짜임새 있게 조직하고, 사실에 기반한 내용을 간결하고 정확한 표현으로 보고하는 글을 쓸 수 있다.",절차와 결과가 드러나게 글의 내용을 조직하고 사실에 기반한 내용과 정확한 표현으로 보고하는 글을 쓸 수 있다.,절차와 결과가 부분적으로 드러나게 글의 내용을 조직하고 일부 정확한 표현을 사용하여 보고하는 글을 쓴다.,"이 성취기준은 교과 학습의 기초가 되는 보고하는 글을 쓰는 능력을 기르기 위해 설정하였다. 보고하는 글의 개념, 보고하는 글에 들어가야 할 내용 요소, 절차와 결과가 드러나게 글의 내용을 조직하는 방법, 절차와 결과를 정확하게 표현해야 하는 이유, 정확한 표현으로 보고하는 글 쓰기 등을 학습한다."
3~4,국어,쓰기,,"⋅상황 맥락 
⋅이유를 들어 의견을 제시하는 글",[4국03-03],대상에 대한 자신의 의견과 그렇게 생각한 이유가 드러나게 글을 쓴다.,대상에 대해 자신의 의견을 제시하고 의견을 뒷받침하는 이유가 명료하게 드러나도록 글을 쓸 수 있다.,대상에 대해 자신의 의견을 제시하고 의견을 뒷받침하는 이유를 들어 글을 쓸 수 있다.,대상에 대해 자신의 의견을 제한적으로 제시하거나 의견에 대한 이유가 부분적으로 드러나게 글을 쓴다.,"이 성취기준은 어떤 대상이나 사실, 문제에 대한 자신의 의견을 구체적이고 명료하게 글로 쓰는 능력을 기르기 위해 설정하였다. 의견의 개념, 의견을 제시하는 것이 필요한 이유와 상황, 주제를 고려하여 자신의 의견을 제시하는 방법, 의견에 대한 이유를 드는 방법 등을 학습한다."
3~4,국어,쓰기,,"⋅상황 맥락 
⋅독자에게 마음을 전하는 글",[4국03-04],목적과 주제를 고려하여 독자에게 마음을 전하는 글을 쓴다.,목적과 주제와 같은 상황 맥락을 전체적으로 고려하여 독자에게 마음을 전하는 글을 쓸 수 있다.,목적과 주제와 같은 상황 맥락을 고려하여 독자에게 마음을 전하는 글을 쓸 수 있다.,목적 또는 주제를 부분적으로 고려하여 독자에게 마음을 전하는 글을 쓴다.,
3~4,국어,쓰기,,,[4국03-05],자신의 쓰기 과정을 점검하며 쓰기에 자신감을 갖는다.,"자신의 쓰기 과정을 능동적으로 점검하여 글의 내용과 표현을 수정·보완할 수 있고, 다양한 유형의 글을 쓰면서 쓰기에 자신감을 갖는다.","자신의 쓰기 과정을 점검하여 글의 내용이나 표현을 수정·보완할 수 있고, 다양한 유형의 글을 쓰면서 쓰기에 자신감을 갖는다.","자신의 쓰기 과정을 제한적으로 점검하고, 일부 유형의 글을 쓰면서 쓰기에 자신감을 갖는다.",
3~4,국어,문법,"⋅문법은 국어의 형식과 내용을 이루는 틀로서 규칙과 원리로 구성⋅운영되며, 문법 탐구는 문법에 대해 사고하는 활동으로 국어에 대한 총체적 앎을 이끈다. 
⋅국어는 체계와 구조를 갖춘 의미 생성 자원이자, 사회적으로 구성된 관습적 규약이며, 공동체의 사고와 가치를 표상하는 문화적 산물이다. 
⋅국어 자료는 다양한 맥락에서 만들어지는 의사소통의 결과물로서, 국어 현상을 파악하고 국어 문제를 발견할 수 있는 문법 탐구의 대상이다. 
⋅국어 사용자는 일상생활에서 국어 현상과 국어 문제를 탐구하고 성찰하면서 언어 주체로서의 정체성과 국어 의식을 형성한다.",⋅단어의 의미와 단어 간의 의미 관계,[4국04-01],단어와 단어 간의 의미 관계를 파악한다.,다양한 단어 간의 의미 관계를 종합적으로 분석할 수 있다.,단어와 단어 간의 의미 관계를 이해할 수 있다.,단어와 단어 간의 의미 관계를 제한적으로 이해한다.,
3~4,국어,문법,,"⋅단어의 분류
⋅단어의 정확한 발음과 표기",[4국04-02],단어를 분류하고 국어사전을 활용하여 능동적인 국어 활동을 한다.,단어를 다양한 기준에 따라 분류하고 국어사전의 정보를 종합적으로 활용하여 능동적인 국어 활동을 할 수 있다.,단어를 분류하고 국어사전의 정보를 활용하여 국어 활동을 할 수 있다.,단어의 분류 기준을 확인하고 국어사전의 정보를 일부 활용하여 국어 활동을 한다.,"이 성취기준은 단어에 대한 기본적인 이해를 바탕으로 국어사전에서 단어를 찾고 국어사전에 수록된 정보를 활용하여 능동적인 국어생활을 할 수 있는 능력을 기르기 위해 설정하였다. 명사, 동사, 형용사에 대한 기본적인 이해를 바탕으로 하되, 상황에 따라 다양하게 해석되는 단어의 의미를 국어사전에서 찾을 수 있도록 동형이의어와 다의어가 국어사전에 수록된 방식을 이해하고, 동사와 형용사의 기본형과 활용형을 구분할 수 있도록 한다. 또한 국어사전을 통해 단어의 표기, 발음, 품사, 의미, 용례 등 다양한 정보를 확인할 수 있음을 이해하고, 단어의 정확한 발음과 표기를 국어사전에서 찾아 어법에 맞는 국어생활을 할 수 있도록 한다."
3~4,국어,문법,,"⋅문장의 기본 구조",[4국04-03],기본적인 문장의 짜임을 이해하고 적절하게 사용한다.,다양한 문장에서 기본적인 문장의 짜임을 분석하고 여러 가지 짜임의 문장을 적절하게 사용할 수 있다.,기본적인 문장의 짜임을 이해하고 여러 가지 짜임의 문장을 사용할 수 있다.,기본적인 문장의 짜임을 제한적으로 이해하고 사용한다.,
3~4,국어,문법,,"⋅참여자 간 관계 및 장면에 따른 언어
⋅글과 담화의 높임 표현과 지시⋅접속 표현",[4국04-04],글과 담화에 쓰인 높임 표현과 지시⋅접속 표현을 이해하고 상황에 맞게 표현한다.,글과 담화에 쓰인 다양한 높임 표현과 지시·접속 표현을 분석하고 적절한 표현을 상황에 따라 효과적으로 활용할 수 있다.,글과 담화에 쓰인 다양한 높임 표현과 지시·접속 표현을 이해하고 이를 상황에 따라 표현할 수 있다.,글과 담화에 쓰인 높임 표현과 지시·접속 표현을 확인하고 일부를 상황에 따라 제한적으로 표현한다.,"이 성취기준은 높임 표현과 지시⋅접속 표현이 상황 맥락에 맞는 언어 표현을 선택하거나 글이나 담화를 유기적으로 구성하는 데 필요한 지식임을 이해하고, 글이나 담화에서 높임 표현과 지시⋅접속 표현을 적절히 사용할 수 있는 능력을 기르기 위해 설정하였다. 높임 표현의 기능과 적절한 사용 방식, 앞에 나온 말을 가리키는 지시 표현 및 문장과 문장 등을 연결하는 다양한 접속 표현의 기능과 이러한 표현들의 적절한 사용 방식을 학습한다."
3~4,국어,문법,,"⋅의사소통과 관계 형성 수단으로서의 언어",[4국04-05],언어가 의사소통과 관계 형성의 수단임을 이해하고 국어를 소중히 여기는 태도를 지닌다.,언어가 의사소통과 관계 형성의 수단임을 종합적으로 이해하고 국어를 소중히 여기는 태도를 내면화한다.,언어가 의사소통과 관계 형성의 수단임을 이해하고 국어의 소중함을 인식하는 태도를 지닌다.,언어가 의사소통과 관계 형성의 수단임을 확인하고 국어의 소중함에 관심을 가진다.,
3~4,국어,문학,"⋅문학은 인간의 삶을 언어로 형상화한 작품을 통해 즐거움과 깨달음을 얻고 타자와 소통하는 행위이다. 
⋅문학 작품을 통한 소통은 작품의 갈래, 작가와 독자, 사회와 문화, 문학사의 영향 등을 고려하며 이루어진다.
⋅문학 수용⋅생산 능력은 문학의 해석, 감상, 비평, 창작 활동을 통해 향상된다. 
⋅인간은 문학을 향유하면서 자아를 성찰하고 타자를 이해하며 공동체의 일원으로 성장한다.","⋅독자 맥락 
⋅이야기",[4국05-01],인물과 이야기의 흐름을 중심으로 작품을 감상한다.,인물과 이야기의 흐름을 적절하게 파악하며 작품을 능동적으로 감상할 수 있다.,인물과 이야기의 흐름을 파악하며 작품을 감상할 수 있다.,인물과 이야기의 흐름에 관심을 가지며 작품을 감상한다.,"이 성취기준은 문학 작품 속 인물의 특성과 서사의 기본 구조를 파악하며 작품을 이해하는 능력을 기르게 하기 위해 설정하였다. 이야기를 읽을 때 인물의 성격과 역할을 파악하고, 이를 고려하여 시간적 순서나 인과관계를 생각하며 이야기의 흐름을 파악하는 활동에 중점을 둔다. 나아가 작품 속 다양한 인물의 특성을 고려하면서 이어질 이야기를 상상하여 표현해 봄으로써 작품을 능동적으로 이해하고 감상하게 한다."
3~4,국어,문학,,⋅독자 맥락,[4국05-02],자신의 경험을 바탕으로 작품 속 세계와 현실 세계를 비교하여 작품을 감상한다.,자신의 경험을 바탕으로 작품 속 세계와 현실 세계의 공통점이나 차이점을 구체적으로 비교하고 작품에 대한 의견을 나누며 적극적으로 감상할 수 있다.,자신의 경험을 바탕으로 작품 속 세계와 현실 세계의 공통점이나 차이점을 비교하며 작품을 감상할 수 있다.,자신의 경험을 바탕으로 작품 속 세계와 현실 세계의 공통점이나 차이점을 부분적으로 비교하며 작품을 감상한다.,"이 성취기준은 작품 속의 세계가 현실 세계를 반영한 것이지만, 허구적 세계로서 현실 세계와 구별된다는 점을 인식하며 작품을 감상할 수 있게 하기 위해 설정하였다. 작품 속의 인물⋅정서⋅상황⋅배경⋅분위기⋅사건 등을 이해할 때 학습자 자신의 경험을 바탕으로 경험과 상상, 사실과 허구를 비교하며 생각하게 하고, 허구적으로 표현한 부분에 대한 의견을 나누며 작품을 감상하도록 한다."
3~4,국어,문학,,⋅독자 맥락 ,[4국05-03],작품을 듣거나 읽고 마음에 드는 작품을 소개한다.,작품을 듣거나 읽고 작품이 마음에 든 이유를 구체적으로 말하며 작품을 자세하게 소개할 수 있다.,작품을 듣거나 읽고 작품이 마음에 든 이유를 말하며 작품을 소개할 수 있다.,작품을 듣거나 읽고 작품에서 마음에 드는 부분을 일부 말한다.,
3~4,국어,문학,,"⋅독자 맥락 
⋅시",[4국05-04],"감각적 표현에 유의하여 작품을 감상하고, 감각적 표현을 활용하여 자신의 생각이나 감정을 표현한다.","감각적 표현의 특성과 효과를 파악하며 작품을 감상하고, 감각적 표현을 적절하게 활용하여 자신의 생각이나 감정을 적극적으로 표현할 수 있다.","감각적 표현의 특성을 파악하며 작품을 감상하고, 감각적 표현을 활용하여 자신의 생각이나 감정을 표현할 수 있다.","감각적 표현의 특성을 부분적으로 파악하며 작품을 감상하고, 감각적 표현을 활용하여 자신의 생각이나 감정을 간단하게 표현한다.","이 성취기준은 문학 표현 방식의 효과와 기능을 이해하며 작품을 감상하고, 자신의 생각이나 느낌을 다양한 방법으로 나타내어 다른 이들과 나누게 하기 위해 설정하였다. 학습자로 하여금 감각적 표현을 통해 작품 속에 형상화된 대상을 생동감 있게 체험하면서 문학의 즐거움을 느끼게 하는 데 중점을 둔다. 또한 자신의 생각과 감정을 효과적으로 전달할 수 있는 감각적 표현을 활용하여 말을 하거나 글을 써 보고 감각적 표현을 사용하였을 때와 그렇지 않을 때의 차이를 비교하게 한다."
3~4,국어,문학,,⋅독자 맥락 ,[4국05-05],재미나 감동을 느끼며 작품을 즐겨 감상하는 태도를 지닌다.,재미나 감동을 느끼며 작품을 적극적으로 찾아 읽고 즐겨 감상하는 태도를 지닌다.,재미나 감동을 느끼며 작품을 읽고 즐기는 태도를 지닌다.,주어진 작품을 읽고 재미나 감동을 느끼는 태도를 지닌다.,
3~4,국어,매체,"⋅매체는 소통을 매개하는 도구, 기술, 환경으로 당대 사회의 소통 방식과 소통 문화에 영향을 미친다.
⋅매체 이용자는 매체 자료의 주체적인 수용과 생산을 통해 정체성을 형성하고 사회적 의미 구성 과정에 관여한다.
⋅매체 이용자는 매체 및 매체 소통의 영향력에 대한 이해와 자신과 타인의 권리를 지키기 위한 적극적인 노력을 통해 건강한 소통 공동체를 형성한다. ","⋅상황 맥락 
⋅인터넷의 학습 자료",[4국06-01],인터넷에서 학습에 필요한 다양한 자료를 탐색하고 목적에 맞게 자료를 선택한다.,학습 상황에 필요한 다양한 자료를 인터넷에서 효과적으로 탐색하고 목적에 적합한 자료를 선택하여 활용할 수 있다.,학습 상황에 필요한 다양한 자료를 인터넷에서 탐색하고 목적에 적합한 자료를 선택할 수 있다.,학습에 필요한 자료를 인터넷에서 탐색한다.,"이 성취기준은 다양한 교과 학습 맥락에서 인터넷에 접속하여 다양한 자료에 효과적으로 접근하고 유용한 정보를 선택하여 목적에 맞게 활용할 때 필요한 기초 능력을 기르기 위해 설정하였다. 교사의 안내에 따라 디지털 매체를 통해 지정된 인터넷 공간에 접속하기, 다양한 자료 훑어보기, 자료의 내용 파악하기, 유용한 자료 선택하기 등을 수행하고, 이를 통해 인터넷 접속 방법, 비선형적 자료의 탐색 방법, 목적에 맞는 정보 선택 방법 등을 체계적으로 학습한다."
3~4,국어,매체,,"⋅상황 맥락 
⋅인터넷의 학습 자료",[4국06-02],매체를 활용하여 간단한 발표 자료를 만든다.,다양한 매체를 활용하여 간단한 발표 자료를 짜임새 있게 만들 수 있다.,매체를 활용하여 간단한 발표 자료를 만들 수 있다.,매체를 활용하여 발표 자료의 일부를 만든다.,
3~4,국어,매체,,"⋅상황 맥락 
⋅인터넷의 학습 자료",[4국06-03],매체 소통 윤리를 고려하여 매체 자료를 활용하고 공유한다.,매체 소통 윤리를 이해하고 이를 지키며 매체 자료를 적극적으로 활용하고 공유할 수 있다.,기본적인 매체 소통 윤리를 이해하면서 매체 자료를 활용하고 공유할 수 있다.,매체 소통 윤리를 부분적으로 이해하면서 매체 자료를 일부 활용하거나 공유한다.,"이 성취기준은 매체 기반의 소통에서 지켜야 할 기본적인 윤리를 이해하고 이를 고려하며 매체 자료를 활용하거나 공유할 수 있는 능력을 기르기 위해 설정하였다. 다양한 매체 자료를 활용하거나 공유하는 과정에서 저작권과 초상권 침해, 개인 정보 유출 등의 문제가 발생할 수 있음을 이해한다. 다양한 사례를 통해 매체 이용자로서 소통 윤리를 지키려는 태도를 기르고, 매체 자료를 안전하고 올바르게 활용하고 공유할 수 있는 방법 등을 학습한다."
3~4,도덕,자신과의 관계,"⋅성실은 도덕적 가치와 덕목을 일관되게 추구하도록 하여 도덕적 삶으로 이끈다.
⋅자아에 대한 탐구와 성찰은 자신을 존중하는 마음을 기르는 도덕 공부의 기초이다.",,[4도01-01],자신의 감정을 소중히 여기며 존중하는 태도를 바탕으로 내가 누구인가를 탐구한다.,자신의 감정을 꾸준히 존중하는 태도를 바탕으로 내가 누구인가를 다각도로 탐구한다.,자신의 감정을 존중하는 태도를 바탕으로 내가 누구인가를 탐구한다.,자신의 감정에 관심을 가지고 내가 누구인가를 탐구하려고 노력한다.,
3~4,도덕,자신과의 관계,,,[4도01-02],정직의 의미를 알고 모범적인 사례를 탐색하여 바르게 행동하려는 태도를 기른다.,정직의 의미를 포괄적으로 이해하고 다양한 모범 사례를 탐색하여 생활 전반에서 바르게 행동하려는 태도를 기른다.,정직의 의미를 이해하고 모범 사례를 탐색하여 바르게 행동하려는 태도를 기른다.,정직의 의미를 단편적으로 이해하고 모범 사례 탐색에 관심을 가지며 바르게 행동하려는 태도를 기르고자 노력한다.,
3~4,도덕,자신과의 관계,,,[4도01-03],성실한 생활의 모범 사례를 탐색하고 시간 관리를 위한 생활을 계획하여 지속적인 자기 성장을 모색한다.,성실한 생활의 다양한 모범 사례를 탐색하고 생활 전반에 걸쳐 시간 관리를 위한 생활 계획을 세우며 지속적인 자기 성장을 모색한다.,성실한 생활의 모범 사례를 탐색하고 시간 관리를 위한 생활 계획을 세우며 자기 성장을 모색한다.,성실한 생활의 모범 사례를 인식하고 시간 관리를 위한 생활 계획을 세우려 노력하며 자기 성장에 관심을 가진다.,
